Case,Description,Sellable,Cause,Captured an Image(s)?
1,ALCATEL Mobile Device Introduced and hearing issues noticed,VEXF,CyberSecurity,
2,Falling Material has caused Deaths on Construction Workers,EquipAny,Incident Reporting,
3,"FPS and AGS Data Format, are 1991 Metadata Information",VEXF,Metadata,
4,"Labour Quotient Productivity is an increase, but Multi-Factor Productivity is dipping",Costing,Productivity,
5,Monitoring Construction Activities on a small Building Project with an Open Space,Recog.,Scheduling,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
